Country,Year,Population,Population_predicted
Kyrgyzstan,2010,5411,5517
Kyrgyzstan,2015,5665,5835
Kyrgyzstan,2020,5965,6153
Laos,1995,4847,4916
Laos,2000,5398,5344
Laos,2005,5837,5772
Laos,2010,6369,6199
Laos,2015,6912,6627
Laos,2020,7448,7055
Latvia,1995,2481,2328
Latvia,2000,2369,2313
Latvia,2005,2259,2297
Latvia,2010,2116,2282
Latvia,2015,1987,2266
Latvia,2020,1882,2251
Lebanon,1995,3673,3782
Lebanon,2000,3835,4072
Lebanon,2005,4139,4362
Lebanon,2010,4493,4652
Lebanon,2015,6185,4941
Lebanon,2020,5470,5231
Lesotho,1995,1848,1666
Lesotho,2000,1917,1772
Lesotho,2005,1923,1878
Lesotho,2010,1920,1984
Lesotho,2015,1948,2090
Lesotho,2020,1970,2197
Liberia,1995,1901,2662
Liberia,2000,2601,2930
Liberia,2005,2931,3198
Liberia,2010,3686,3466
Liberia,2015,4196,3734
Liberia,2020,4728,4002
Libya,1995,4584,4559
Libya,2000,5025,5041
Libya,2005,5571,5524
Libya,2010,6111,6007
Libya,2015,6412,6490
Libya,2020,6943,6973
Liechtenstein,1995,31,30
Liechtenstein,2000,33,32
Liechtenstein,2005,35,34
Liechtenstein,2010,37,36
Liechtenstein,2015,38,38
Liechtenstein,2020,40,40
Lithuania,1995,3510,3265
Lithuania,2000,3490,3275
Lithuania,2005,3327,3285
Lithuania,2010,3089,3295
Lithuania,2015,2885,3305
Lithuania,2020,2732,3315
Luxembourg,1995,410,445
Luxembourg,2000,439,468
Luxembourg,2005,468,491
Luxembourg,2010,510,514
Luxembourg,2015,571,537
Luxembourg,2020,629,560
Macau,1995,402,405
Macau,2000,432,440
Macau,2005,475,474
Macau,2010,568,509
Macau,2015,593,543
Macau,2020,615,578
Madagascar,1995,13533,15113
Madagascar,2000,15713,16838
Madagascar,2005,18132,18564
Madagascar,2010,20847,20289
Madagascar,2015,23813,22015
Madagascar,2020,26956,23740
Malawi,1995,9809,11323
Malawi,2000,11130,12715
Malawi,2005,12864,14107
Malawi,2010,15183,15500
Malawi,2015,17965,16892
Malawi,2020,21197,18284
Malaysia,1995,20340,21020
Malaysia,2000,23152,23074
Malaysia,2005,25969,25128
Malaysia,2010,28275,27182
Malaysia,2015,30514,29235
Malaysia,2020,32653,31289
Maldives,1995,261,254
Maldives,2000,300,282
Maldives,2005,337,309
Maldives,2010,396,336
Maldives,2015,394,364
Maldives,2020,392,391
Mali,1995,9489,11046
Mali,2000,10788,12214
Mali,2005,12528,13382
Mali,2010,14583,14549
Mali,2015,16956,15717
Mali,2020,19714,16884
Malta,1995,377,375
Malta,2000,390,384
Malta,2005,399,392
Malta,2010,407,401
Malta,2015,414,410
Malta,2020,420,418
Marshall Islands,1995,50,49
Marshall Islands,2000,54,55
Marshall Islands,2005,60,60
Marshall Islands,2010,66,65
Marshall Islands,2015,73,71
Marshall Islands,2020,78,76
Mauritania,1995,2235,2417
Mauritania,2000,2501,2650
Mauritania,2005,2838,2884
Mauritania,2010,3206,3117
Mauritania,2015,3597,3350
Mauritania,2020,4006,3583
Mauritius,1995,1124,1116
Mauritius,2000,1186,1175
Mauritius,2005,1243,1234
Mauritius,2010,1295,1293
Mauritius,2015,1340,1352
Mauritius,2020,1380,1411
Mexico,1995,92584,91440
Mexico,2000,99776,99051
Mexico,2005,106577,106662
Mexico,2010,114062,114273
Mexico,2015,121737,121884
Mexico,2020,128650,129495
Moldova,1995,4356,3887
Moldova,2000,4181,3931
Moldova,2005,3949,3974
Moldova,2010,3732,4018
Moldova,2015,3547,4061
Moldova,2020,3365,4105
Monaco,1995,31,29
Monaco,2000,32,30
Monaco,2005,32,31
Monaco,2010,31,32
Monaco,2015,31,33
Monaco,2020,31,34
Mongolia,1995,2307,2244
Mongolia,2000,2461,2435
Mongolia,2005,2603,2625
Mongolia,2010,2784,2815
Mongolia,2015,2993,3005
Mongolia,2020,3169,3195
Montenegro,1995,671,612
Montenegro,2000,733,630
Montenegro,2005,700,648
Montenegro,2010,667,667
Montenegro,2015,648,685
Montenegro,2020,640,704
Montserrat,1995,11,9
Montserrat,2000,4,8
Montserrat,2005,5,8
Montserrat,2010,6,7
Montserrat,2015,6,6
Montserrat,2020,6,6
Morocco,1995,26148,26336
Morocco,2000,28114,28438
Morocco,2005,29901,30540
Morocco,2010,31628,32642
Morocco,2015,33323,34744
Morocco,2020,37956,36846
Mozambique,1995,15889,17337
Mozambique,2000,17997,19000
Mozambique,2005,20069,20662
Mozambique,2010,22418,22325
Mozambique,2015,25304,23988
Mozambique,2020,28604,25650
Myanmar,1995,43994,43558
Myanmar,2000,47439,46692
Myanmar,2005,50573,49826
Myanmar,2010,53415,52961
Myanmar,2015,56321,56095
Myanmar,2020,59126,59229
Namibia,1995,1682,1588
Namibia,2000,1894,1742
Namibia,2005,2029,1896
Namibia,2010,2129,2050
Namibia,2015,2213,2204
Namibia,2020,2263,2358
Nauru,1995,10,9
Nauru,2000,10,9
Nauru,2005,11,10
Nauru,2010,10,10
Nauru,2015,10,11
Nauru,2020,10,11
Nepal,1995,21877,22270
Nepal,2000,24819,24336
Nepal,2005,27094,26402
Nepal,2010,28952,28468
Nepal,2015,31552,30535
Nepal,2020,34209,32601
Netherlands,1995,15477,15312
Netherlands,2000,15931,15786
Netherlands,2005,16300,16259
Netherlands,2010,16574,16732
Netherlands,2015,16948,17205
Netherlands,2020,17281,17679
New Caledonia,1995,192,196
New Caledonia,2000,212,213
New Caledonia,2005,233,230
New Caledonia,2010,253,248
New Caledonia,2015,272,265
New Caledonia,2020,291,283
New Zealand,1995,3643,3712
New Zealand,2000,3803,3896
New Zealand,2005,4049,4079
New Zealand,2010,4253,4263
New Zealand,2015,4439,4446
New Zealand,2020,4715,4629
Nicaragua,1995,4402,4194
Nicaragua,2000,4867,4611
Nicaragua,2005,5268,5027
Nicaragua,2010,5605,5444
Nicaragua,2015,5908,5861
Nicaragua,2020,6204,6278
Niger,1995,9111,11010
Niger,2000,10726,12332
Niger,2005,12783,13654
Niger,2010,15271,14976
Niger,2015,18046,16297
Niger,2020,21152,17619
Nigeria,1995,109753,119723
Nigeria,2000,123946,132832
Nigeria,2005,141190,145941
Nigeria,2010,160342,159050
Nigeria,2015,181563,172159
Nigeria,2020,204950,185267
North Korea,1995,22108,20828
North Korea,2000,22785,22149
North Korea,2005,23621,23470
North Korea,2010,24326,24791
North Korea,2015,24984,26112
North Korea,2020,25644,27433
North Macedonia,1995,1955,1904
North Macedonia,2000,2015,1967
North Macedonia,2005,2046,2030
North Macedonia,2010,2073,2094
North Macedonia,2015,2097,2157
North Macedonia,2020,2113,2221
Northern Mariana Islands,1995,58,43
Northern Mariana Islands,2000,70,49
Northern Mariana Islands,2005,71,55
Northern Mariana Islands,2010,54,60
Northern Mariana Islands,2015,53,66
Northern Mariana Islands,2020,58,72
Norway,1995,4360,4505
Norway,2000,4493,4644
Norway,2005,4625,4784
Norway,2010,4892,4923
Norway,2015,5208,5062
Norway,2020,5468,5202
Oman,1995,2139,2145
Oman,2000,2433,2407
Oman,2005,2697,2670
Oman,2010,2968,2932
Oman,2015,3287,3194
Oman,2020,3635,3457
Pakistan,1995,134186,136935
Pakistan,2000,152430,150808
Pakistan,2005,169279,164681
Pakistan,2010,184405,178554
Pakistan,2015,199086,192427
Pakistan,2020,213720,206300
Palau,1995,18,17
Palau,2000,20,18
Palau,2005,21,19
Palau,2010,21,20
Palau,2015,22,21
Palau,2020,22,22
Palestine,1995,2508,2780
Palestine,2000,3111,3120
Palestine,2005,3599,3459
